epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8454,1.0559,4.18266,0.291,1.08539,0.99694,0.267,0.4298,0.26982,0.17822,0.3,0.2235,0.12319,0.03385,1.27975,5.83167,0.11218,2.07112,1.11151,0.000662626,0.000662626,0.000662626
2,90.6047,1.00821,3.81338,0.15314,0.94739,0.97113,0.29521,0.69054,0.30367,0.18495,0.15081,0.27221,0.08232,0.02743,1.45434,6.20023,0.04703,2.45707,1.19309,0.00130297,0.00130297,0.00130297
3,140.469,1.00408,3.71002,0.12008,0.92573,0.9688,0.32072,0.62751,0.37228,0.24043,0.18069,0.22063,0.12722,0.04498,1.31439,6.06789,0.05979,2.33635,1.10398,0.00191692,0.00191692,0.00191692
4,189.685,0.94951,3.55066,0.11419,0.87814,0.95228,0.20918,0.67335,0.19644,0.12045,0.11646,0.23209,0.04585,0.014,1.5106,6.71119,0.04015,3.62134,1.25297,0.0018812,0.0018812,0.0018812
5,239.426,0.91541,3.347,0.10413,0.84246,0.94187,0.35132,0.48711,0.34505,0.22754,0.18896,0.20344,0.12618,0.04216,1.3925,6.40694,0.06251,2.19259,1.12997,0.0018416,0.0018416,0.0018416
6,290.563,0.91462,3.33019,0.10586,0.82754,0.94368,0.25337,0.65043,0.27674,0.17874,0.27683,0.15186,0.10383,0.03123,1.55967,6.44934,0.03407,3.05793,1.21952,0.001802,0.001802,0.001802
7,341.055,0.88234,3.26286,0.10173,0.80272,0.93089,0.23169,0.63078,0.26174,0.17492,0.13245,0.33811,0.11411,0.0402,1.5453,6.54463,0.03218,2.56858,1.25208,0.0017624,0.0017624,0.0017624
8,391.64,0.85114,3.03999,0.09638,0.77181,0.92264,0.15244,0.55915,0.16488,0.1049,0.20527,0.10805,0.06728,0.01865,1.816,6.57957,0.05578,3.25816,1.31382,0.0017228,0.0017228,0.0017228
9,442.589,0.82526,2.97922,0.09524,0.74174,0.91541,0.26847,0.59312,0.32427,0.21746,0.28709,0.22636,0.12991,0.04268,1.40787,6.54173,0.03017,2.26543,1.17841,0.0016832,0.0016832,0.0016832
10,492.28,0.81363,2.94195,0.09419,0.73945,0.91386,0.27764,0.587,0.27704,0.18937,0.13071,0.2149,0.04861,0.0152,1.40333,6.82237,0.02859,2.50532,1.14376,0.0016436,0.0016436,0.0016436
11,544.726,0.78238,2.81832,0.09113,0.70928,0.90715,0.21892,0.81948,0.21535,0.14172,0.14375,0.27221,0.0616,0.02025,1.42248,6.46009,0.02734,2.8178,1.18026,0.001604,0.001604,0.001604
12,601.576,0.79804,2.87739,0.09001,0.71016,0.90938,0.21478,0.62178,0.24075,0.16517,0.20993,0.29226,0.10508,0.03671,1.2541,6.08819,0.03762,2.78684,1.14619,0.0015644,0.0015644,0.0015644
13,651.073,0.75892,2.66128,0.08796,0.67829,0.89085,0.26309,0.66189,0.34278,0.24678,0.25816,0.2235,0.13602,0.04839,1.35036,6.29536,0.04341,2.2945,1.11059,0.0015248,0.0015248,0.0015248
14,701.236,0.74972,2.67921,0.08877,0.66293,0.89129,0.27619,0.4603,0.32021,0.23426,0.25795,0.19198,0.1434,0.04838,1.30596,6.10299,0.029,2.4611,1.11052,0.0014852,0.0014852,0.0014852
15,751.969,0.73869,2.66998,0.08171,0.65397,0.88635,0.4047,0.57853,0.39297,0.25753,0.29761,0.23782,0.13599,0.04952,1.41218,6.23216,0.03201,2.13529,1.21673,0.0014456,0.0014456,0.0014456
