epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0413,1.0559,4.18266,0.291,1.08539,0.99694,0.80331,0.59375,0.72674,0.53269,0.88687,0.39062,0.45658,0.1672,0.97046,4.5349,0.11268,1.18682,0.99755,0.000662626,0.000662626,0.000662626
2,99.4379,1.00821,3.81338,0.15314,0.94739,0.97113,0.69218,0.6325,0.70021,0.49705,0.58955,0.4375,0.37242,0.11239,1.10405,4.7264,0.06251,1.28061,1.06943,0.00130297,0.00130297,0.00130297
3,143.315,1.00408,3.71002,0.12008,0.92573,0.9688,0.76212,0.70087,0.71878,0.51016,0.49794,0.45312,0.32059,0.10502,1.05186,4.84277,0.06177,1.20489,1.01738,0.00191692,0.00191692,0.00191692
4,191.785,0.94951,3.55066,0.11419,0.87814,0.95228,0.60589,0.5625,0.6066,0.40345,0.40173,0.375,0.24617,0.08826,1.20386,4.71618,0.06277,1.36427,1.08147,0.0018812,0.0018812,0.0018812
5,241.395,0.91541,3.347,0.10413,0.84246,0.94187,0.68087,0.63345,0.66982,0.44874,0.61275,0.40625,0.44136,0.1282,1.20943,4.89239,0.0764,1.40681,1.08426,0.0018416,0.0018416,0.0018416
6,297.803,0.91462,3.33019,0.10586,0.82754,0.94368,0.80597,0.51562,0.62219,0.42219,0.58372,0.40625,0.35059,0.09899,1.2045,5.21868,0.04681,1.35076,1.10199,0.001802,0.001802,0.001802
7,356.075,0.88234,3.26286,0.10173,0.80272,0.93089,0.74075,0.49118,0.55205,0.38368,0.59052,0.3125,0.26469,0.09114,1.15315,5.06434,0.06148,1.91854,1.09173,0.0017624,0.0017624,0.0017624
8,407.56,0.85114,3.03999,0.09638,0.77181,0.92264,0.81476,0.48115,0.60318,0.43373,0.53755,0.29071,0.24443,0.08967,1.21424,5.23217,0.05321,1.52065,1.10455,0.0017228,0.0017228,0.0017228
9,456.557,0.82526,2.97922,0.09524,0.74174,0.91541,0.81086,0.60297,0.68267,0.46375,0.51302,0.37864,0.33207,0.12901,1.23039,5.0622,0.06264,1.39878,1.16949,0.0016832,0.0016832,0.0016832
10,505.477,0.81363,2.94195,0.09419,0.73945,0.91386,0.79981,0.49942,0.61377,0.44577,0.67627,0.375,0.33669,0.11217,1.13199,4.91756,0.05618,1.60693,1.07102,0.0016436,0.0016436,0.0016436
11,555.938,0.78238,2.81832,0.09113,0.70928,0.90715,0.67138,0.57466,0.64939,0.44501,0.57057,0.35938,0.30278,0.10961,1.19498,5.21857,0.04645,1.5088,1.11271,0.001604,0.001604,0.001604
